[879, 190]
[532, 288]
[531, 288]
[530, 288]
[529, 289]
[528, 289]
[527, 290]
[526, 290]
[525, 290]
[524, 291]
[523, 291]
[522, 292]
[521, 292]
[520, 292]
[519, 293]
[518, 293]
[517, 294]
[516, 294]
[515, 294]
[514, 295]
[513, 295]
[512, 296]
[511, 296]
[510, 296]
[509, 297]
[508, 297]
[507, 298]
[506, 298]
[505, 298]
[504, 299]
[503, 299]
[502, 300]
[501, 300]
[500, 301]
[499, 301]
[498, 301]
[497, 302]
[496, 302]
[495, 303]
[494, 303]
[493, 304]
[492, 304]
[491, 305]
[490, 305]
[489, 305]
[488, 306]
[487, 306]
[486, 307]
[485, 307]
[484, 308]
[483, 308]
[482, 309]
[481, 309]
[480, 310]
[479, 310]
[478, 310]
[477, 311]
[476, 311]
[475, 312]
[474, 312]
[473, 313]
[472, 313]
[471, 314]
[470, 314]
[469, 315]
[468, 315]
[467, 316]
[466, 316]
[465, 317]
[464, 317]
[463, 318]
[462, 318]
[461, 319]
[460, 319]
[459, 320]
[458, 320]
[457, 321]
[456, 321]
[455, 322]
[454, 322]
[453, 323]
[452, 324]
[451, 324]
[450, 325]
[449, 325]
[448, 326]
[447, 326]
[446, 327]
[445, 328]
[444, 328]
[443, 329]
[442, 329]
[441, 330]
[440, 331]
[439, 331]
[438, 332]
[437, 332]
[436, 333]
[435, 334]
[434, 334]
[433, 335]
[432, 335]
[431, 336]
[430, 337]
[429, 337]
[428, 338]
[427, 339]
[426, 339]
[425, 340]
[424, 341]
[420, 344]
[419, 345]
[418, 345]
[417, 346]
[416, 347]
[415, 348]
[414, 349]
[413, 350]
[412, 350]
[411, 351]
[410, 352]
[409, 353]
[408, 354]
[407, 355]
[406, 356]
[405, 357]
[404, 358]
[403, 359]
[402, 360]
[402, 361]
[401, 362]
[400, 363]
[399, 364]
[398, 365]
[398, 366]
[397, 367]
[396, 368]
[396, 369]
[395, 370]
[395, 371]
[394, 372]
[394, 373]
[393, 374]
[393, 375]
[392, 376]
[392, 377]
[391, 378]
[391, 379]
[391, 380]
[391, 381]
[390, 382]
[390, 383]
[390, 384]
[390, 385]
[390, 386]
[389, 387]
[389, 388]
[389, 389]
[389, 390]
[388, 391]
[388, 392]
[388, 393]
[387, 394]
[387, 395]
[386, 396]
[385, 397]
[384, 398]
[383, 399]
[382, 400]
[381, 400]
[380, 401]
[379, 401]
[378, 402]
[377, 402]
[376, 402]
[375, 402]
[374, 403]
[373, 403]
[372, 403]
[371, 403]
[370, 403]
[369, 403]
[368, 403]
[367, 403]
[366, 403]
[365, 403]
[364, 403]
[363, 403]
[362, 403]
[361, 402]
[360, 402]
[359, 402]
[358, 402]
[357, 402]
[356, 402]
[355, 401]
[354, 401]
[353, 401]
[352, 401]
[351, 400]
[350, 400]
[349, 400]
[348, 400]
[347, 399]
[346, 399]
[345, 399]
[344, 398]
[343, 398]
[342, 398]
[341, 397]
[340, 397]
[339, 396]
[338, 396]
[337, 396]
[336, 395]
[335, 395]
[334, 395]
[333, 394]
[332, 394]
[331, 393]
[330, 393]
[329, 392]
[328, 392]
[327, 392]
[326, 391]
[325, 391]
[324, 390]
[323, 390]
[322, 389]
[321, 389]
[320, 388]
[319, 388]
[318, 387]
[317, 387]
[316, 387]
[315, 386]
[314, 386]
[310, 383]
[309, 383]
[308, 383]
[307, 382]
[306, 381]
[305, 381]
[304, 380]
[303, 380]
[302, 379]
[301, 379]
[300, 378]
[299, 378]
[298, 377]
[297, 377]
[296, 376]
[295, 376]
[294, 375]
[293, 374]
[292, 374]
[291, 373]
[290, 373]
[289, 372]
[288, 372]
[287, 371]
[286, 370]
[285, 370]
[284, 369]
[283, 369]
[282, 368]
[281, 367]
[280, 367]
[279, 366]
[278, 366]
[277, 365]
[276, 364]
[275, 364]
[274, 363]
[273, 363]
[272, 362]
[271, 361]
[270, 361]
[269, 360]
[268, 360]
[267, 359]
[266, 358]
[265, 358]
[264, 357]
[263, 357]
[262, 356]
[261, 355]
[260, 355]
[259, 354]
[258, 353]
[257, 353]
[256, 352]
[255, 351]
[254, 351]
[253, 350]
[252, 349]
[251, 349]
[250, 348]
[249, 348]
[248, 347]
[247, 346]
[246, 346]
[245, 345]
[244, 344]
[243, 344]
[242, 343]
[241, 342]
[240, 342]
[239, 341]
[238, 340]
[237, 340]
[236, 339]
[235, 338]
[234, 338]
[233, 337]
[232, 336]
[231, 336]
[230, 335]
[229, 334]
[228, 334]
[227, 333]
[226, 332]
[225, 332]
[224, 331]
[223, 330]
[222, 330]
[221, 329]
[220, 328]
[219, 327]
[218, 327]
[217, 326]
[216, 325]
[215, 325]
[214, 324]
[213, 323]
[212, 323]
[211, 322]
[210, 321]
[209, 321]
[208, 320]
[207, 319]
[206, 319]
[205, 318]
[204, 317]
[203, 316]
[202, 316]
[201, 315]
[200, 314]
[199, 314]
[198, 313]
[197, 312]
[196, 311]
[195, 311]
[194, 310]
[193, 309]
[192, 309]
[191, 308]
[190, 307]
[189, 306]
[188, 306]
[187, 305]
[186, 304]
[185, 304]
[184, 303]
[183, 302]
[182, 301]
[181, 301]
[180, 300]
[179, 299]
[178, 299]
[177, 298]
[176, 297]
[175, 296]
[174, 296]
[173, 295]
[172, 294]
[171, 293]
[170, 293]
[169, 292]
[168, 291]
[167, 290]
[166, 290]
[165, 289]
[164, 288]
[163, 288]
[162, 287]
[161, 286]
[160, 285]
[159, 285]
[158, 284]
[157, 283]
[156, 282]
[155, 282]
[154, 281]
[153, 280]
[152, 279]
[151, 279]
[150, 278]
[149, 277]
[148, 276]
[147, 276]
[146, 275]
[145, 274]
[144, 273]
[143, 273]
[142, 272]
[141, 271]
[140, 270]
[139, 270]
[138, 269]
[137, 268]
[136, 267]
[135, 267]
[134, 266]
[133, 265]
[132, 264]
[131, 264]
[130, 263]
[129, 262]
[128, 261]
[127, 261]
[126, 260]
[125, 259]
[124, 258]
[123, 258]
[122, 257]
[121, 256]
[120, 255]
[119, 254]
[118, 254]
[117, 253]
[116, 252]
[115, 251]
[114, 251]
[113, 250]
[112, 249]
[111, 248]
[110, 248]
[109, 247]
[108, 246]
[107, 245]
[106, 244]
[105, 244]
[104, 243]
[103, 242]
[102, 241]
[101, 241]
[100, 240]
[99, 239]
[98, 238]
[97, 237]
[96, 237]
[95, 236]
[94, 235]
[93, 234]
[92, 234]
[91, 233]
[90, 232]
[89, 231]
[88, 230]
[87, 230]
[86, 229]
[85, 228]
[84, 227]
[83, 227]
[82, 226]
[81, 225]
[80, 224]
[79, 223]
[78, 223]
[77, 222]
[76, 221]
[75, 220]
[74, 220]
[73, 219]
[72, 218]
[71, 217]
[70, 216]
[69, 216]
[68, 215]
[67, 214]
[66, 213]
[65, 212]
[64, 212]
[63, 211]
[62, 210]
[61, 209]
[60, 208]
[59, 208]
[58, 207]
[57, 206]
[56, 205]
[55, 204]
[54, 204]
[53, 203]
[52, 202]
[51, 201]
[50, 200]
[49, 200]
[48, 199]
[47, 198]
[46, 197]
[45, 197]
[44, 196]
[43, 195]
[42, 194]
[41, 193]
[40, 192]
[39, 192]
[38, 191]
[37, 190]
[36, 189]
[35, 188]
[34, 188]
[33, 187]
[32, 186]
[31, 185]
[30, 184]
[29, 184]
[28, 183]
[27, 182]
[26, 181]
[25, 180]
[24, 180]
[23, 179]
[22, 178]
[21, 177]
[20, 176]
[19, 176]
[18, 175]
[17, 174]
[16, 173]
[15, 172]
[14, 172]
[13, 171]
[12, 170]
[11, 169]
[10, 168]
[9, 167]
[8, 167]
[7, 166]
[6, 165]
[5, 164]
[4, 163]
[3, 163]
[2, 162]
[1, 161]
[0, 161]
[0, 160]
